id,level,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers,description,rationale
22,cell type,Midbrain,Midbrain,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",42185,"Adgrv1, Otx2, Erbb4, Ildr2, Adgrb3, Sox2, Rfx4, Npas3, Otx2os1, Efna2","Meis2, Otx2, Efna2, Otx2os1, Tal2, Mab21l2, Efna5, Nckap5, Ano1, Tmem132c","The midbrain (mesencephalon) is a major subdivision of the developing brain derived from the mesencephalic vesicle of the neural tube. In the mouse embryo from E8.0 to E10.0, midbrain progenitors undergo rapid proliferation and regional patterning, ultimately giving rise to structures such as the tectum (superior and inferior colliculi) and the tegmentum, which include dopaminergic neurons critical for motor control and reward circuits. This population represents the broad progenitor and early neuronal compartment of the midbrain across mid-to-late organogenesis stages.","The name ""Midbrain"" is strongly supported by the prominence of Otx2 and its antisense transcript Otx2os1 in both global and local marker lists, as Otx2 is the canonical transcription factor defining forebrain–midbrain identity, with its posterior expression boundary demarcating the midbrain–hindbrain boundary at the isthmus. Local markers such as Meis2, which is enriched in the dorsal midbrain (developing tectum), and Tal2, a bHLH factor specifically expressed in midbrain GABAergic precursors, distinguish this population from neighboring forebrain and hindbrain cell types. The ephrin ligands Efna2 and Efna5, which mediate topographic axon guidance in the midbrain tectum, further reinforce midbrain regional identity. Additional global markers including Sox2 and Rfx4 are consistent with an actively proliferating neural progenitor state, while Mab21l2, expressed in the midbrain and optic vesicle during this developmental window, corroborates mesencephalic specification."
23,cell type,,Roof plate,,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",11619,"Colec12, Mafb, Msx1, Glis3, Zic2, Slit2, Sdk1, Wls, Id2, Unc5c","Colec12, Mafb, Msx1, Sdk1, Glis3, Slit2, Nkain3, Cdh11, Lmx1a, Bnc2","The roof plate is a specialized dorsal midline signaling center of the developing neural tube that secretes BMP and Wnt morphogens to pattern dorsal cell fates. It plays essential roles in specifying dorsal interneuron subtypes, guiding commissural axon trajectories, and inducing neural crest emigration from E8.5 onward as the neural tube closes along the rostrocaudal axis.","The marker profile strongly supports a roof plate identity. Lmx1a and Msx1 are canonical roof plate transcription factors required for its specification and maintenance, while Glis3 and Zic2 are additional dorsal midline-enriched transcription factors. Wls (Wntless), essential for Wnt ligand secretion, and Id2, a BMP-responsive target gene, reflect the roof plate's well-characterized role as a dual BMP/Wnt signaling center. Slit2, an axon guidance cue secreted by the roof plate to deflect commissural axons, further confirms dorsal midline identity, as does Colec12, which is highly enriched in roof plate cells."
23a,cell subtype,Roof plate (posterior),Roof plate,Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",5368,"Pax3, Msx1, Glis3, Ptn, Crabp2, Rspo3, Rfx4, Nrg3, Zic2, Wnt1","Aldh1a2, Pax3, Wnt1, Msx1, Tagln2, Glis3, Cdh6, Unc5c, Rspo3, Dmd","The roof plate (posterior) comprises the dorsal midline signaling cells of the caudal (spinal cord-level) neural tube during mouse embryogenesis. These cells act as a key organizer, secreting Wnt and BMP morphogens to pattern dorsal interneuron subtypes along the trunk and tail regions. Present from E8.5 onward, they coordinate dorsoventral patterning in concert with retinoic acid signaling that establishes posterior axial identity.","Roof plate identity is strongly supported by Wnt1 and Msx1, both canonical dorsal midline markers, along with Rspo3, an R-spondin family Wnt pathway modulator enriched in the roof plate, and Zic2, a dorsal neural tube transcription factor. Pax3 further marks the dorsal neural tube domain from which the roof plate derives. The posterior designation is justified by Aldh1a2, the top local marker, which encodes the principal retinoic acid–synthesizing enzyme in the trunk and is a hallmark of posterior axial identity, together with Crabp2, a retinoic acid–binding protein that facilitates RA signaling in caudal tissues. These retinoic acid pathway genes distinguish this population from anterior roof plate cells, which lack strong RA biosynthetic signatures."
23b,cell subtype,Roof plate (anterior),Roof plate,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",6251,"Colec12, Mafb, Ctnna2, Nkain3, Mir100hg, Zic2, Wls, Slit2, Glis3, Msx1","Colec12, Nkain3, Mafb, Nfia, Ctnna2, Cdh11, Pcdh7, Sdk1, Eya4, Cdkn1c","The roof plate (anterior) comprises the dorsal midline signaling cells of the developing brain — spanning the forebrain, midbrain, and hindbrain regions of the neural tube. This specialized organizer tissue secretes Wnt, BMP, and axon guidance signals that pattern dorsal CNS identity and direct commissural axon trajectories in cranial regions. Present from E8.5 onward, it emerges as the anterior neural tube closes and continues to function as a signaling center through organogenesis stages.","Core roof plate identity is supported by Msx1, a canonical dorsal midline transcription factor, Wls (Wntless), which is required for secretion of Wnt ligands from the roof plate signaling center, and Slit2, a midline-derived axon guidance cue. Zic2 and Glis3 further confirm dorsal neural tube character. The anterior designation is justified by local markers that distinguish this population from posterior roof plate: Mafb is a transcription factor enriched in the hindbrain, Nfia drives forebrain and midbrain gliogenic programs, and Ctnna2 (αN-catenin) is a brain-enriched adherens junction component with minimal spinal cord expression. Additional brain-associated genes such as Eya4, which functions in cranial sensory development, and the neural adhesion molecules Pcdh7 and Sdk1 collectively reinforce an anterior cranial rather than spinal cord identity."
24,cell type,,Telencephalon,,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",72465,"Lhx2, Sox2, Npas3, Mecom, Mest, Igfbp2, Gli3, Ptprz1, Cdh2, Sfrp1","Lhx2, Foxg1, Igfbp2, Dlk1, Gli3, Mecom, Prdm16, Nrg3, Hmga2, Shisa2","The telencephalon is the most anterior division of the embryonic forebrain, giving rise to the cerebral cortex, hippocampus, basal ganglia, and olfactory bulb. At E8.5–E10.0, this population represents early telencephalic neuroepithelial progenitors that are actively expanding and beginning to regionalize along dorsoventral and anteroposterior axes.","The local marker Foxg1 is the definitive transcription factor specifying telencephalic identity, expressed exclusively in the telencephalic neuroepithelium and absolutely required for its development. Lhx2, the top-ranked marker both globally and locally, is a master regulator of cortical fate within the telencephalon, distinguishing it from other forebrain regions. Additional markers reinforce this assignment: Gli3 mediates Shh-dependent dorsal telencephalic patterning, Prdm16 marks forebrain progenitors, and Nrg3 is enriched in the developing cortex. The co-expression of the neural progenitor marker Sox2 with these region-specific factors is consistent with a telencephalic progenitor population at these early embryonic stages."
24a,cell subtype,Telencephalon (dorsal),Telencephalon,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",65188,"Lhx2, Sox2, Gli3, Igfbp2, Mecom, Npas3, Ptprz1, Mest, Ptn, Crabp2","Dach1, Igfbp2, Lhx2, Emx2, Sema6a, Robo2, Hmga2, Gli3, Ptprz1, Dmrta2","Dorsal telencephalic progenitors constitute the precursors of the cerebral cortex (pallium), including future neocortex and hippocampus. Arising from the anterior neural plate by E8.5, these cells form the dorsal wall of the telencephalic vesicles and are characterized by a proliferative neuroepithelium that will generate the layered cortical projection neurons in later development.","The local markers provide a definitive dorsal telencephalic signature. Lhx2 and Emx2 are master regulators of cortical identity—Lhx2 specifies dorsal pallial fate while suppressing cortical hem and antihem programs, and Emx2 patterns the cortical area map along the caudomedial–rostrolateral axis. Gli3, which functions primarily as a transcriptional repressor in the dorsal telencephalon, is essential for suppressing ventral (subpallial) fate, and Dmrta2 cooperates with Emx2 to establish dorsomedial telencephalic identity including the cortical hem. Additional markers such as Dach1 (cortical progenitor transcription factor), Robo2 and Sema6a (axon guidance receptors active in cortical circuit wiring), and Ptprz1 (a phosphatase enriched in neural progenitors) further support classification as dorsal telencephalon rather than ventral telencephalon or other forebrain domains."
24b,cell subtype,Telencephalon (ventral),Telencephalon,Anterior neural ectoderm,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",7277,"Dlk1, Lhx2, Foxg1, Nkx2-1, Mest, Npas3, Nnat, Sox2, Mecom, Ccnd1","Dlk1, Foxg1, Nnat, Nkx2-1, Aff2, Prdm16, Ano1, Mecom, Clstn2, Ephb1","The ventral telencephalon (subpallium) comprises progenitor cells of the ganglionic eminences and preoptic area in the developing mouse forebrain, emerging from E9.0 onward. These progenitors give rise to GABAergic interneurons and basal ganglia projection neurons, and are patterned by ventralizing morphogen signals including Shh from the underlying mesenchyme and ventral midline.","Foxg1 is a pan-telencephalic transcription factor that confirms forebrain identity, while Nkx2-1 is the hallmark transcription factor of the ventral telencephalon, specifically defining the medial ganglionic eminence and preoptic area and distinguishing this population from dorsal telencephalic progenitors. Among the local markers, Prdm16 is enriched in ventral forebrain progenitors, and Mecom is expressed in subpallial domains, further supporting a ventral rather than dorsal specification. The imprinted genes Dlk1, Nnat, and Mest are characteristically upregulated in ventral telencephalic progenitors during this developmental window, while Sox2 and Ccnd1 reflect the actively proliferating progenitor state expected at these early neurogenic stages."
25,cell type,Hindbrain (isthmic organizer),Hindbrain (isthmic organizer),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",9304,"Pax5, Ptn, En2, En1, Rmst, Fgf8, Adgrv1, Fgf14, Adgrb3, Ccnd2","Pax5, Fgf8, En1, En2, Il17rd, Ptn, Fgf17, 2610027F03Rik, Pax8, Cnpy1","The isthmic organizer is a critical signaling center located at the mid-hindbrain boundary (MHB) that patterns the posterior midbrain (including the tectum) and anterior hindbrain (including the cerebellum). It functions by secreting FGF and WNT morphogens that establish concentration gradients across the MHB, orchestrating region-specific neuronal differentiation and survival. This population appears from E8.5 onward, consistent with the establishment of isthmic organizer identity shortly after neural plate formation.","The marker gene profile constitutes a textbook molecular signature of the isthmic organizer. Fgf8 and Fgf17 are the hallmark secreted morphogens of this signaling center, while Il17rd (also known as SEF) and Cnpy1 are well-characterized feedback modulators of FGF signaling at the isthmus. The engrailed transcription factors En1 and En2, together with the paired-box genes Pax5 and Pax8, form the core transcriptional network that specifies and maintains isthmic organizer identity at the mid-hindbrain boundary. The convergence of these canonical signaling molecules, their downstream modulators, and MHB-defining transcription factors leaves little ambiguity that this cluster represents the isthmic organizer rather than a generic hindbrain population."
26,cell type,Hindbrain (r1),Hindbrain (r1),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",33182,"Adgrv1, Npas3, Ildr2, Sfrp2, Rfx4, Gm56811, Fat3, Sox2, Ptn, Fabp7","Slc44a5, Nebl, Mapk10, Sfrp2, Dab1, Pax5, En2, Ctnna2, Id2, Unc5c","Hindbrain rhombomere 1 (r1) is the most anterior segment of the developing hindbrain, lying immediately caudal to the midbrain-hindbrain boundary (isthmus). This domain gives rise to the cerebellum and contributes to pontine structures, and it is patterned by signals emanating from the isthmic organizer. Present from E8.5 through E10.0, these neural progenitors are actively undergoing regionalization and early neurogenesis during this developmental window.","The assignment to rhombomere 1 is strongly supported by the local markers En2 and Pax5, which together define the isthmus–r1 territory: En2 (Engrailed 2) is a homeodomain transcription factor with expression sharply restricted to the midbrain-hindbrain boundary and r1, while Pax5 (also known as Pax5/BSAP in other contexts) has one of the most spatially confined expression domains in the developing brain, marking the isthmic region and anterior r1. Unc5c, a netrin receptor critical for cerebellar granule cell migration, further supports an r1 identity, as the cerebellum is the principal derivative of this rhombomere. Global markers such as Sox2 and Fabp7 confirm a neural progenitor state, while Sfrp2 (a Wnt modulator prominent in both marker lists) and Dab1 (a Reelin signaling adaptor) reflect the active morphogen signaling and migratory programs characteristic of this organizing center."
27,cell type,Hindbrain (r2-r4),Hindbrain (r2-r4),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",51467,"Crabp1, Adgrv1, Fat3, Crabp2, Sfrp2, Gm56811, Rfx4, Sox2, Sfrp1, Ildr2","Crabp1, Cyp26b1, Epha7, Tenm2, Epha4, Nr2f2, Mest, Erbb4, Sfrp1, Meis2","Hindbrain (r2-r4) cells are neural progenitors and early neurons arising from rhombomeres 2 through 4 of the developing hindbrain. These segments of the rhombencephalon are patterned by retinoic acid gradients and Hox gene codes, and they give rise to cranial motor neurons, sensory relay nuclei, and neural crest populations that contribute to craniofacial structures. This cluster emerges at E8.5, consistent with the onset of hindbrain segmentation, and expands through E10.0 as rhombomere-specific neuronal differentiation proceeds.","The strong expression of Crabp1 and Crabp2 among global markers reflects the intense retinoic acid signaling activity characteristic of the anterior hindbrain, where cellular RA-binding proteins regulate the availability of retinoic acid to pattern rhombomere identity. The local marker Epha4 is a classic marker of odd-numbered rhombomeres (r3 and r5), and its co-expression with Epha7 supports segmental boundary formation within the r2-r4 domain. Cyp26b1, which encodes a retinoic acid-degrading enzyme expressed in anterior rhombomeres to establish sharp RA boundaries, further localizes this population to the anterior hindbrain rather than posterior segments. Additionally, Meis2 is a TALE-class homeodomain cofactor for Hox proteins known to be expressed in r2-r5, and Nr2f2 (COUP-TFII) marks hindbrain progenitors, together supporting the assignment of this cluster to rhombomeres 2 through 4."
28,cell type,Hindbrain (r5-r8),Hindbrain (r5-r8),Posterior neural ectoderm,Neural ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",51649,"Npas3, Adgrv1, Crabp2, Fat3, Rfx4, Rarb, Zfp536, Gm56811, Tox, Ckb","Rarb, Zfp536, Hoxb3, Tox, Npas3, Glra1, Dach1, Gm29478, Igfbp2, Hoxd4","Hindbrain (r5-r8) comprises the caudal rhombomeric segments of the developing rhombencephalon, spanning rhombomeres 5 through 8. These segments give rise to the myelencephalon (future medulla oblongata) and contribute to the caudal metencephalon, generating diverse neuronal populations including reticulospinal neurons, branchiomotor neurons of cranial nerves, and precerebellar nuclei. This population emerges at E8.5 as rhombomere boundaries become morphologically distinct and expands substantially through E10.0 as neurogenesis accelerates in the caudal hindbrain.","The Hox gene signature decisively localizes this population to rhombomeres 5–8: Hoxb3 has its anterior expression boundary at r5, while Hoxd4 is expressed from r7 posteriorly, together demarcating the caudal hindbrain domain. Prominent retinoic acid pathway genes Rarb and Crabp2 reinforce this caudal identity, as retinoic acid signaling is the principal caudalizing morphogen in hindbrain patterning and its targets are most strongly expressed in posterior rhombomeres. The local marker Glra1 (glycine receptor alpha 1) is consistent with brainstem and medullary neuronal differentiation, where glycinergic signaling is particularly enriched. Additional neural transcription factors such as Npas3, Tox, Dach1, and Zfp536 reflect the active neurogenic state of these hindbrain progenitors, while their distinction from neighboring cell types in the local marker analysis confirms a coherent caudal rhombomeric identity."
29,cell type,,Cranial motor neuron,,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",5952,"Tubb3, Ebf1, Phox2b, Ctnna2, Elavl4, Nkx6-1, Rtn1, Map1b, Stmn2, Crabp1","Phox2b, Phox2a, Ebf1, Nkx6-1, Nefl, Thsd7b, Slit3, Tbx20, Isl1, Plxna4","Cranial motor neurons are post-mitotic neurons originating from the ventral hindbrain that project axons through the cranial nerves to innervate muscles of the head, face, and pharyngeal arches, as well as visceral organs. They encompass both branchiomotor neurons (controlling jaw, facial, and pharyngeal muscles) and visceral motor neurons (parasympathetic preganglionic), and are among the earliest differentiating neuronal populations in the developing brainstem.","The co-expression of Phox2b and Phox2a is a definitive signature of branchiomotor and visceral motor neuron identity, as these paired-like homeodomain factors are master regulators required for the specification and survival of these populations. Isl1 and Nkx6-1 further support motor neuron identity — Isl1 is a canonical LIM-homeodomain factor essential for motor neuron differentiation, while Nkx6-1 marks ventral progenitor domains that give rise to motor neurons. The presence of Tbx20, which is specifically expressed in cranial motor nuclei of the hindbrain, together with Ebf1, distinguishes these as cranial rather than spinal motor neurons. Pan-neuronal maturation markers such as Tubb3, Elavl4, Nefl, and Stmn2 confirm these are differentiated post-mitotic neurons, while axon guidance genes Plxna4 and Slit3 reflect active axonal pathfinding consistent with the E9.0-E10.0 stages when cranial nerve projections are being established."
29a,cell subtype,Visceral motor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",3174,"Tubb3, Ebf1, Phox2b, Ctnna2, Crabp1, Elavl4, Rtn1, Cacna2d1, Nkx6-1, Stmn2","Hoxb4, Meis2, Hoxb3, Crabp1, Prkce, Tshz3, Hoxc4, Fgf13, Enox2, Cacna2d1","Visceral motor neurons are a class of cranial motor neurons that innervate visceral organs and glandular structures, mediating parasympathetic and branchiomotor functions. Arising from ventral progenitors in the hindbrain, they include populations such as the dorsal motor nucleus of the vagus and nucleus ambiguus, which regulate autonomic functions including heart rate, gut motility, and airway control. Their appearance from E9.0 onward is consistent with the timing of hindbrain motor neuron differentiation in the mouse embryo.","The designation as visceral motor neurons is strongly supported by the prominent global expression of Phox2b, the master transcription factor required for specification of all visceral (branchiomotor and parasympathetic) motor neurons and a definitive marker distinguishing them from somatic motor neurons. Co-expression of Nkx6-1, a ventral neural tube patterning factor essential for motor neuron progenitor identity, together with pan-neuronal maturation markers such as Tubb3, Elavl4, and Stmn2, confirms these are post-mitotic motor neurons. The local markers Hoxb3, Hoxb4, and Hoxc4, along with the Hox cofactor Meis2, position these neurons in the caudal hindbrain consistent with vagal-level visceral motor columns, while Crabp1 reflects active retinoic acid signaling characteristic of posterior hindbrain patterning. Enrichment of Tshz3, which regulates connectivity and survival of specific motor neuron populations, further supports a visceral motor identity distinct from neighboring somatic motor neuron subtypes."
29b,cell subtype,Facial branchiomotor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",973,"Tubb3, Ebf1, Crabp1, Phox2b, Cacna2d1, Rtn1, Ebf2, Nkx6-1, Nefl, Ctnna2","Mybpc1, Gata2, Hoxb1, Hoxb3os, Nalf1, Phox2a, Ccnd1, Phox2b, Fat3, Lhfpl6","Facial branchiomotor neurons are motor neurons of cranial nerve VII (the facial nerve) that arise in rhombomere 4 of the developing hindbrain and innervate muscles of facial expression derived from the second branchial arch. During the stages captured here (E9.0–E10.0), these neurons are being specified and undergoing their characteristic caudal migration from rhombomere 4 to rhombomere 6. They are among the earliest differentiating motor neuron populations in the hindbrain and serve as a classic model for neuronal migration and branchiomotor circuit assembly.","The name is strongly supported by Hoxb1, a local marker that is the defining transcription factor of rhombomere 4 identity and is required for facial branchiomotor neuron specification—its loss converts these neurons to a trigeminal-like fate. Branchiomotor identity is confirmed by the global marker Phox2b and the local marker Phox2a, paired-like homeodomain transcription factors that are essential for the development of all branchiomotor and visceral motor neurons. Gata2, another local marker, is a known downstream target of Phox2b in facial motor neuron differentiation, further distinguishing this population from somatic motor neurons. Pan-neuronal and motor neuron markers such as Tubb3, Nefl, and Nkx6-1 confirm post-mitotic neuronal and ventral progenitor-domain identity, while Crabp1 reflects the retinoic acid signaling environment of the caudal hindbrain in which these neurons are specified."
29c,cell subtype,Oculomotor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",182,"Phox2b, Tubb3, Elavl4, Ebf1, Nkx6-1, Ctnna2, Plxna4, Fgf14, St18, Phox2a","Sox2ot, Nav3, Ptn, Pax5, Fgf14, Gal, Hdac9, Plxna4, Eya1, Peg3","Oculomotor neurons are somatic motor neurons of cranial nerve III (CN III), originating from ventral midbrain progenitors. They innervate the majority of extraocular muscles—including the superior, inferior, and medial recti and the inferior oblique—and are among the earliest cranial motor neurons to differentiate, consistent with their emergence at E9.5. A subset also gives rise to parasympathetic preganglionic neurons that control pupillary constriction and lens accommodation.","The co-expression of Phox2a and Phox2b is a defining signature of oculomotor neurons; Phox2a in particular is indispensable for oculomotor and trochlear nucleus specification, and its loss results in complete agenesis of CN III. Nkx6-1 marks the ventral progenitor domain from which somatic motor neurons, including oculomotor neurons, are generated, while Tubb3 and Elavl4 confirm post-mitotic neuronal identity. Among the local markers, Pax5 expression is notable as it labels the midbrain–hindbrain boundary (isthmus) region where oculomotor precursors reside, helping distinguish this population from hindbrain-derived cranial motor neurons. Axon guidance genes such as Plxna4 and Nav3 are consistent with the long-range projection of CN III axons to their extraocular muscle targets."
29d,cell subtype,Trigeminal branchiomotor neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",1346,"Ebf1, Tubb3, Phox2b, Ctnna2, Nkx6-1, Elavl4, Ebf2, Isl1, Stmn2, St18","Cdh12, Tbx20, Gm26871, Akap6, Dpyd, Nrp1, Igfbp5, Sox1, Homer2, Rassf4","Trigeminal branchiomotor neurons are motor neurons of cranial nerve V that reside in the trigeminal motor nucleus of the hindbrain (rhombomeres 2–3) and innervate muscles derived from the first pharyngeal arch, most notably the muscles of mastication. They arise from ventral progenitors in the hindbrain neuroepithelium and undergo characteristic lateral migration before extending axons to their peripheral targets. In the mouse embryo, these neurons are specified between E9.0 and E10.0, consistent with the stages captured in this cluster.","The global markers Phox2b and Isl1 firmly establish branchiomotor neuron identity: Phox2b is a defining transcription factor for branchiomotor and visceromotor lineages, while Isl1 and Nkx6-1 confirm ventral motor neuron specification. Pan-neuronal maturation markers such as Tubb3, Elavl4, and Stmn2 indicate these are post-mitotic, differentiating neurons, and Ebf1/Ebf2 reflect ongoing neuronal fate consolidation. Among the local markers that distinguish this cluster from other cranial motor neuron subtypes, Tbx20 is particularly diagnostic—it is specifically expressed in the trigeminal motor nucleus and is required for trigeminal branchiomotor neuron development, distinguishing them from facial (VII) and other branchiomotor populations. Additional local markers including Nrp1, a semaphorin co-receptor critical for trigeminal axon guidance, and Cdh12, a cadherin involved in the differential adhesion that underpins trigeminal motor nucleus cohesion, further support the trigeminal identity of this cluster."
29e,cell subtype,Trochlear neuron,Cranial motor neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",277,"Kcnb2, Tubb3, Ebf1, Phox2a, Plcb1, Elavl4, Nkx6-1, Phox2b, Myo16, Map2","Plcb1, Kcnb2, Phox2a, Ccnd2, Cacna2d3, Galnt18, Dlc1, Hs3st4, Eya2, Stxbp6","Trochlear neurons are the motor neurons of cranial nerve IV (the trochlear nerve), which exclusively innervates the superior oblique muscle of the eye to control downward and rotational gaze. They arise from progenitors in the ventral midbrain near the isthmus and are notable among cranial motor neurons for their dorsal axon exit and contralateral projection. These neurons appear at E9.5–E10.0, consistent with the known timing of trochlear nucleus differentiation in the mouse.","The assignment as trochlear neurons is strongly supported by the prominent expression of Phox2a, which appears in both global and local marker lists and is uniquely required for trochlear motor neuron specification—loss of Phox2a in mice leads to selective agenesis of the trochlear nucleus while other cranial motor nuclei remain largely intact. Co-expression of Phox2b and Nkx6-1 confirms a ventral cranial motor neuron identity, while pan-neuronal markers Tubb3, Elavl4, and Map2 indicate post-mitotic neuronal differentiation. Among the local markers that distinguish this population from the three most similar cranial motor neuron subtypes, Phox2a ranks highly alongside Eya2, a transcription factor implicated in motor neuron development, and Plcb1, consistent with a molecularly distinct motor neuron subtype within the midbrain."
30,cell type,,Hypothalamic neuron,,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",3532,"Dcc, Tubb3, Map2, Map1b, Ctnna2, Srrm4, Elavl4, Tubb2b, Ptprn2, Stmn2","Dlk1, Dcc, Sim1, Tmem163, Lhx5, Fat3, Celf2, Peg3, Erbb4, Nkx2-1","Hypothalamic neurons are ventral forebrain neurons arising from the diencephalic floor plate that will form the nuclei of the hypothalamus, a brain region critical for homeostatic regulation including feeding, thermoregulation, and neuroendocrine signaling. These neurons begin differentiating from progenitors in the ventral diencephalon around E9.0 in the mouse, consistent with their appearance at E9.0–E10.0 in this dataset.","The global markers (Tubb3, Map2, Map1b, Stmn2, Elavl4) confirm a post-mitotic neuronal identity. The hypothalamic assignment is strongly supported by local markers including Nkx2-1, a master transcription factor for ventral forebrain and hypothalamic specification, Sim1, which defines the prospective paraventricular and supraoptic nuclei of the hypothalamus, and Lhx5, a LIM-homeodomain factor required for hypothalamic development. The presence of the imprinted genes Dlk1 and Peg3, both of which are characteristically enriched in the developing hypothalamus, further reinforces this identity. Dcc, a netrin receptor guiding hypothalamic axon projections, is consistent with actively differentiating hypothalamic neurons extending axonal processes during this developmental window."
30a,cell subtype,Hypothalamic neuron,Hypothalamic neuron,Neuron,Neural ectoderm,Ectoderm,"E9.0, E9.5, E10.0",1718,"Dcc, Tubb3, Map2, Sox2ot, Cdkn1c, Dlk1, Pak3, Srrm4, Ctnna2, Grik2","Dlk1, Sox2ot, Isl1, Peg3, Sox5, Smoc1, Rian, Grik2, Sox6, Fndc3c1","Hypothalamic neurons are among the earliest-born neurons of the ventral diencephalon, arising from progenitors in the hypothalamic anlage beginning around E9.0 in the mouse. These neurons will ultimately populate hypothalamic nuclei that regulate neuroendocrine signaling, homeostasis, and autonomic function. At E9.0–E10.0, they represent newly postmitotic neurons actively extending axons and establishing the foundational circuitry of the developing hypothalamus.","Postmitotic neuronal identity is firmly established by the global markers Tubb3, Map2, Dcc, and Srrm4, all canonical indicators of differentiating neurons. The hypothalamic assignment is strongly supported by a striking enrichment of imprinted genes in the local markers—Dlk1, Rian (both from the Dlk1-Dio3 imprinted locus), Peg3, and Cdkn1c—which is a well-characterized molecular signature of the developing hypothalamus. Isl1, a LIM-homeodomain transcription factor that marks specific early hypothalamic neuron populations, further reinforces ventral diencephalic identity and distinguishes these cells from other nascent neuronal types. Together, the convergence of imprinted-gene expression and Isl1 provides a robust basis for the hypothalamic neuron designation."
30b,cell subtype,Paraventricular hypothalamic neuron,Hypothalamic neuron,Neuron,Neural ectoderm,Ectoderm,"E9.5, E10.0",419,"Dcc, Tubb3, Sim1, Robo1, Cacna2d1, Map2, Nnat, Tmem163, Igfbpl1, Pak3","Sim1, Cacna2d1, Tenm4, Otp, Tmem163, Robo1, Ccnd2, Kirrel3, Nnat, Edil3","Paraventricular hypothalamic neurons are a neuroendocrine population arising in the developing paraventricular nucleus (PVN) of the hypothalamus, one of the principal integration centers of the neuroendocrine and autonomic nervous systems. In the mature brain these neurons produce neuropeptides such as oxytocin, vasopressin, and corticotropin-releasing hormone to regulate stress responses, fluid balance, and metabolism. Their emergence at E9.5–E10.0 is consistent with the early specification of hypothalamic neuroendocrine progenitors during diencephalic patterning.","The name is strongly supported by the co-expression of Sim1 and Otp, two transcription factors that are jointly necessary and sufficient for the specification of paraventricular nucleus neurons and that define this nucleus from its earliest developmental stages. Sim1 is the top-ranked local marker and also a prominent global marker, while Otp appears among the local markers, and their combination is essentially pathognomonic for the PVN lineage. Additional markers reinforce a maturing neuronal identity within the hypothalamus: Tubb3 and Map2 indicate postmitotic neurons, Dcc and Robo1 reflect active axon guidance consistent with newly born hypothalamic projection neurons, and Nnat is associated with neuronal differentiation in the developing brain. The calcium channel subunit Cacna2d1 and the zinc transporter-associated Tmem163 further suggest early acquisition of the ion-channel repertoire characteristic of neuroendocrine PVN cells."
