program,genes,size,active_in,name,description
P36,"Wnt2, Tbx5, Hand1, Rgs5, Gata6, Tbx20, Hand2, Tnc, Gata5, Gata6os, Dok4, Asb4, Pmp22, Hand2os1, Hdnr, Dlk1, Ccbe1, Msx2, Bmp4, Gm34030, ENSMUSG00000134964, Msx1, Tmem88, Unc5c, Igf2, Dpf3, Tgfb2, Myrf, Zim1, Kcnq5, Snai2, Unc5b, Pcdh7, Bambi, Bmp5, Kitl, Cgnl1, Zfpm1, Peg10, Igf2os, Man1a, Slc38a4, Ppic, Lsp1, Peg3, Smad6, Usp29, Igf2r, Cdkn1c, Mpped2, Smad7",51,"Allantois, Amniotic ectoderm, Endocardial cell, Epicardium, Extraembryonic mesoderm, Juxtacardiac field, Second heart field, Somatic mesoderm",Cardiac/lpm identity,"Defines lateral plate mesoderm (LPM) and cardiac mesoderm identity through a core transcription factor network (Tbx5, Tbx20, Hand1/2, Gata5/6, Zfpm1/FOG1, Dpf3) active across heart fields, endocardium, epicardium, and extraembryonic mesoderm derivatives. The program integrates BMP/TGF-β signaling (Bmp4, Bmp5, Tgfb2) with pathway feedback inhibitors (Smad6, Smad7, Bambi) and is enriched for imprinted genes (Igf2, Dlk1, Peg3, Peg10, Cdkn1c) that regulate mesodermal growth. Collectively, this program specifies the shared regulatory state of splanchnic and somatic LPM lineages, with strongest activity in cardiac progenitor populations."
P37,"Tac2, Tinagl1, Upk3b, Upk1b, Hapln1, Ahnak, Anxa2, Cavin2, Pla2r1, Bnc1, Ccdc80, Lrrn4, Vnn1, Adamts17, Gjb5, S100a6, Cobll1, Hspb8, Epas1, Cd55, S100a11, Abca4, S100a10, Arhgap29, Cdc42ep5, Jdp2, Hacd4, Hspg2",28,"Amniotic ectoderm, Extraembryonic mesoderm, Trigeminal placode",Mesothelial identity,"Defines mesothelial and surface epithelial identity in extraembryonic and body cavity-lining tissues. Uroplakins (Upk3b, Upk1b) and S100 calcium-binding proteins (S100a6, S100a10, S100a11) are hallmarks of mesothelial cells, supported by membrane-organizing factors (Anxa2, Ahnak, Cavin2), basement membrane components (Hspg2, Tinagl1), and the epithelial transcription factor Bnc1. Epas1 (HIF-2α) further links this program to the hypoxia-responsive extraembryonic compartment where mesothelial precursors reside."
P38,"Tbx4, Pitx1, Foxf1, Fendrr, Isl1, Gm47071, Hoxa13, Ppp1r14a, Tmem158, Pde9a",10,Allantois,Allantois specification,"Defines allantois identity through a posterior mesoderm transcription factor program. Tbx4, Pitx1, Hoxa13, and Foxf1/Fendrr collectively establish posterior lateral plate mesoderm fate in the allantois, with Hoxa13 being essential for allantois morphogenesis and chorioallantoic fusion. Isl1 contributes to the broader caudal mesoderm regulatory network supporting this extraembryonic lineage."
P39,"D030025E07Rik, ENSMUSG00000136475, ENSMUSG00000133633, ENSMUSG00000131589, Tdrd12",5,"Lateral plate mesoderm, Second heart field, Splanchnic mesoderm",Novel lpm/shf transcripts,"A program composed almost entirely of uncharacterized or poorly annotated genes (RIKEN clones and novel Ensembl loci) active in lateral plate and splanchnic mesoderm, including the second heart field. The sole named gene, Tdrd12, is primarily known for piRNA-pathway function in the germline and has no established role in mesoderm development. This program likely captures novel or non-coding transcripts with lineage-heritable expression in splanchnic mesodermal derivatives, though its functional significance remains unclear."
P40,"Gucy1a1, Irag1, Rem1, Gucy1b1, Prnp",5,Megakaryocyte,No-cgmp signaling,"Encodes the nitric oxide–cGMP signaling axis in megakaryocytes. Gucy1a1 and Gucy1b1 form the soluble guanylyl cyclase heterodimer (the NO receptor), while Irag1 is a key cGMP-dependent protein kinase (PKG) substrate that inhibits IP3 receptor–mediated calcium release to restrain platelet activation. Prnp further modulates platelet aggregation, linking this program to NO-dependent regulation of megakaryocyte maturation and hemostatic function."
P41,"Synpo2, Tgfb1i1, Myl9, Tpm2",4,"Extraembryonic mesoderm, First heart field, Megakaryocyte, Myotome, Second heart field",Actomyosin contractility,"Encodes core components of the actomyosin contractile apparatus, including regulatory myosin light chain (Myl9), tropomyosin (Tpm2), and actin-associated scaffolding proteins (Synpo2, Tgfb1i1). This program is active across mesodermal lineages that require cytoskeletal contractility—cardiac progenitors of both heart fields, myotome, extraembryonic mesoderm, and megakaryocytes—reflecting a shared smooth/non-sarcomeric contractile module used broadly during mesoderm diversification."
P42,"Ndufa4l2, Cox4i2, Tmem45a, Pgm1",4,"Allantois, Anterior mesoderm, Autonomic neuron, Extraembryonic mesoderm, First heart field, Hepatoblast",Hif hypoxia response,"HIF-regulated hypoxic metabolic adaptation program. Ndufa4l2 and Cox4i2 are direct HIF-1α targets that remodel mitochondrial electron transport chain complexes I and IV to reduce oxygen consumption under low-oxygen conditions, while Pgm1 supports the glycolytic shift and Tmem45a is a hypoxia-inducible transmembrane protein. Activity in allantois, extraembryonic mesoderm, and first heart field is consistent with tissues experiencing physiological hypoxia during early embryogenesis."
P43,"Rbm20, Amph, Smtnl2, Pkp2",4,"First heart field, Second heart field",Cardiomyocyte structure,"A cardiac structural maturation program active across both heart fields. Rbm20 drives cardiac-specific alternative splicing of sarcomeric genes (e.g., titin), Pkp2 encodes the desmosomal protein plakophilin-2 essential for mechanical coupling at intercalated discs, Smtnl2 contributes to contractile apparatus organization, and Amph participates in membrane remodeling. Together, these genes coordinate the assembly of sarcomeric, junctional, and membrane structures required for functional cardiomyocyte differentiation."
P44,"Alx3, Hpse2, Alx4, Ddr2, Prrx1, Cped1, Alx1, Col1a1, Twist1, Col26a1, Gm56620, Twist2, Dnm3os, Fli1, Igf1, Col9a1, Bnc2, Flrt2, Prrx2, Pcolce, Tril, Col23a1, Tnfaip6, Inka1, Lama2, Col1a2, Ets1, Serpinf1, Pdgfra, Clmp, Itga8, Runx1t1, Pdgfrb, Itga9, Ppfibp2, Rhoj, Tmem119, Snai1, Nid1, Dlc1, Tgfbi, Cdh11, ENSMUSG00000139539, Fbln5, Crispld1, Tns1, Hmcn1, Kctd12, Adgra2, Eva1b, Mfap4, Ror1, Sema5a, Dact3, Ednra, Emilin1, Lima1, Pkdcc, Cnn2, Lgals1, Elk3, Colec12, Sgcd, Arhgap31, Scarf2, Rbms3, Aff3, St6galnac3, Oaf, Zcchc24, Prex2, Prkg1, Sh3bp5, Dixdc1, Pcdh18, Arhgap28, Samd4, Gng12, Plpp3, Igfbp4, Arhgef40",81,"Forelimb field, Frontonasal mesenchyme, Head paraxial mesoderm, Hindlimb field, Juxtacardiac field, Periocular mesoderm, Pharyngeal arch mesenchyme, Sclerotome, Somatic mesoderm",Mesenchyme identity,"Core mesenchymal identity program defined by Twist1/2, Prrx1/2, Snai1, and Alx1/3/4 transcription factors together with mesenchyme-associated receptors (Pdgfra, Pdgfrb, Ednra) and abundant ECM components (Col1a1/1a2, laminins, fibulin, emilin). Active across diverse mesoderm- and neural crest-derived mesenchymal populations—limb fields, pharyngeal arch, frontonasal, periocular, and sclerotome—it establishes the shared transcriptional and extracellular matrix scaffold underlying mesenchyme specification and connective tissue formation during mid-embryogenesis."
P45,"Meox1, Tcf15, Fap, Pax1, Uncx, Meox2, Foxc2, Foxd1, Dmrt2, Nkx3-1, Sim1, Wnt16, Gm41244, Foxd2os, Six1, Pax1dt, Foxc1, Ebf2, Ntn1, Pgm5, Bmp3, Cxcl12, Foxd2, Adra1a, 2610016A17Rik, Sec1, 9130410C08Rik, Ebf1, Agmo, Ebf3, Ism1, Sncaip, Eya1, Islr, Lrig1, Itih5, Selenop, Phlda1, Rab3il1, Fbn2, Pcsk5, Dock5",42,"Dermomyotome, Head paraxial mesoderm, Hypaxial myogenic progenitor, Nascent somite, Sclerotome",Somite identity,"Defines the core transcriptional identity of somitic paraxial mesoderm, driven by master regulators of somitogenesis (Meox1/2, Tcf15/Paraxis, Pax1, Foxc1/2, Dmrt2, Uncx) along with the Six1-Eya1 and Ebf1/2/3 programs. Active across somite compartments—nascent somite, dermomyotome, sclerotome, and hypaxial myogenic progenitors—this program encodes the shared heritable signature of somite-derived lineages rather than a single compartment fate."
P46,"Lhx9, Tbx15, Rspo4, Shox2, Lmx1b, C130021I20Rik, Lix1, Gpc5, Hgf, Cdo1, a",11,"Forelimb field, Hindlimb field",Limb mesenchyme identity,"Defines limb bud mesenchyme identity and patterning in both fore- and hindlimb fields. The program centers on key limb transcription factors including Lmx1b (dorsal limb fate), Shox2 (proximal stylopod patterning), Tbx15 (dorso-ventral specification), and Lhx9, alongside limb-enriched signaling components such as Rspo4 (Wnt potentiator), Hgf (muscle precursor migration), and the limb marker Lix1. Together these genes establish the core mesenchymal framework for early limb morphogenesis and axial patterning."
P47,"Sparcl1, S1pr3, Nkd2, Pdlim4, Lrig3, Sulf2, Pde4d",7,"Dermomyotome, Nascent somite, Notochord, Presomitic mesoderm, Sclerotome",Somite signal modulation,"A signaling modulation program active across the somite maturation trajectory and notochord. It combines negative regulators of Wnt (Nkd2), receptor tyrosine kinase (Lrig3), and heparan sulfate-dependent signaling (Sulf2) with cAMP turnover (Pde4d) and ECM/cytoskeletal components (Sparcl1, Pdlim4), suggesting coordinated attenuation of multiple signaling pathways during somite patterning and differentiation into dermomyotome and sclerotome compartments."
P48,"Gm8730, D130009I18Rik, Gm13611, Gm10076, Hba-a1, Rpl24",6,Primitive erythrocyte,Primery hba/ribosomal,"Primitive erythrocyte program coupling alpha-globin (Hba-a1) expression with ribosomal machinery (Rpl24) and co-transcribed pseudogenes/unannotated transcripts (Gm8730, Gm13611, Gm10076, D130009I18Rik). This likely reflects the exceptionally high transcriptional and translational output required for massive hemoglobin accumulation in primitive red blood cells, with pseudogene transcription as a byproduct of the permissive chromatin state in these cells."
P49,"Crym, Six2, Tbx2, Crlf1, D030045P18Rik, Kank4",6,Frontonasal mesenchyme,Frontonasal mesenchyme id,"Defines frontonasal mesenchyme identity and midface morphogenesis. Six2 is a master regulator of the frontonasal prominence whose loss causes midface clefting, while Tbx2 contributes to craniofacial patterning. Crlf1 is linked to craniofacial development (Crisponi/cold-induced sweating syndrome), and Crym marks craniofacial mesenchyme, together specifying the progenitor population that forms the midface and nasal structures."
P50,"Epha3, Ppp2r2b, Col14a1, Ccser1, Pde3a, Crispld2",6,"Juxtacardiac field, Otic placode, Somatic mesoderm",Morphogenetic ecm remodeling,"This program coordinates extracellular matrix organization and morphogenetic signaling during tissue remodeling. Col14a1 and Crispld2 encode secreted ECM components that regulate collagen fibrillogenesis and matrix integrity, while Epha3 mediates cell sorting and tissue boundary formation. Intracellular modulators Pde3a and Ppp2r2b fine-tune cAMP and phosphatase signaling downstream of morphogenetic cues. Active in the juxtacardiac field, otic placode, and somatic mesoderm—tissues undergoing active shape changes and mesenchymal reorganization during mid-embryogenesis."
P51,"Barx1, Dlx1, Dlx2, Lhx8, Gm29260, Mab21l1",6,Pharyngeal arch mesenchyme,Pharyngeal arch patterning,"Encodes a transcription factor program governing pharyngeal arch mesenchyme identity and craniofacial patterning. Barx1, Dlx1, Dlx2, and Lhx8 are homeobox transcription factors co-expressed in neural crest-derived mesenchyme of the pharyngeal arches, where they specify proximal-distal positional identity and are essential for downstream craniofacial structures including the jaw, palate, and teeth. Mab21l1 further supports craniofacial morphogenesis in this context."
P52,"Halr1, Cd36, Foxl1, Esrrg, P3h2",5,"Dermomyotome, Enteroendocrine progenitor, First heart field, Lateral plate mesoderm, Myotome, Periocular mesoderm, Sclerotome, Second heart field",Mesoderm metabolic,"This program combines metabolic regulators Esrrg and Cd36 (lipid/energy metabolism) with the mesenchymal transcription factor Foxl1, collagen-modifying enzyme P3h2, and lncRNA Halr1 across diverse mesodermal lineages. Active broadly in somite compartments (dermomyotome, myotome, sclerotome), both heart fields, lateral plate mesoderm, and periocular mesoderm, it likely reflects a shared metabolic and extracellular matrix maturation state accompanying mesodermal diversification."
P53,"Abca9, Lamc3, Apod, Lepr, Gm35330",5,"Head paraxial mesoderm, Notochord",Meso lipid transport/ecm,"Encodes a lipid transport and extracellular matrix program active in axial and paraxial mesoderm. Abca9 and Apod mediate lipid/cholesterol trafficking, Lepr provides metabolic signaling input, and Lamc3 contributes to basement membrane assembly. This program may support the stromal-mesenchymal character of head paraxial mesoderm and notochord through coordinated lipid handling and matrix remodeling."
P54,"Parm1, Cthrc1, Lamb1, Col4a2, Col4a1",5,Parietal endoderm,Reichert's bm synthesis,"Encodes major structural components of Reichert's membrane, the thick basement membrane secreted by parietal endoderm. Col4a1, Col4a2, and Lamb1 are the canonical collagen IV and laminin constituents of this extraembryonic basement membrane, while Cthrc1 promotes collagen deposition. This program reflects the primary secretory function of parietal endoderm in assembling the barrier between the embryo and maternal tissue."
P55,"Tbx1, Gm12829, Gm266, Hlf",4,"Anterior mesoderm, Pharyngeal mesoderm",Tbx1 pharyngeal mesoderm,"Tbx1-driven program specifying pharyngeal mesoderm identity. Tbx1 is the master transcription factor for pharyngeal arch development and the second heart field; its loss causes DiGeorge syndrome-associated cardiac outflow tract, craniofacial, and thymus defects. Activity in anterior and pharyngeal mesoderm aligns with Tbx1's role in patterning the cranial mesoderm that contributes to pharyngeal arch muscles, great vessels, and cardiac structures."
P56,"Bcl11a, Bcl11b, Nfib, Oxct1",4,"Arterial endothelial cell, Endocardial cell, Endothelial cell, Epiblast, Epicardium, Juxtacardiac field, Mesothelium, Olfactory sensory neuron, Rostral ectoderm, Spinal cord (sacral)",Bcl11/nfib fate regulators,"A chromatin-remodeling transcription factor program centered on the paralogous zinc finger repressors Bcl11a and Bcl11b, which recruit the NuRD and BAF (SWI/SNF) complexes, together with the pioneer factor Nfib. Active across diverse progenitor and differentiating lineages—endothelial, mesothelial, neural, and epiblast—this program likely governs broad cell fate specification by remodeling chromatin accessibility at lineage-decision loci. Oxct1 may reflect a linked metabolic shift toward ketone body utilization in these fate-transitioning cells."
P57,"Trp63, Wnt6, Cxcl14, Sostdc1, Perp, Sfn, Krt7, Fermt1, Cldn4, Epcam, Esrp1, Cdh1, Krt5, Grhl2, Gjb3, Kremen2, Ap1m2, Ntf5, Rab25, Tacstd2, Cldn3, Crb3, Prss8, Gjb2, Adamts18, Mpzl2, Tmem54, Mapk13, Gm16136, Wnt3, Npnt, Bcam, Lypd6b, St14, Wnt4, Espn, Mir205hg, Ccdc68, Cdcp1, Ppl, Cdh3, Spint1, Barx2, Sp6, Marveld2, Pdgfa, Krt14, Frem2, Atp2c2, Acer2, Dsp, Prss22, Jag2, Il17re, Kcnk1, Itga3, Grb7, Cpz, Ass1, Arhgef16, Galnt18, Cgn, Ocln, Exph5, F11r, Lad1, Irf6, Eps8l2, Arhgap8, Pdlim1, Rasef, Fmn1, Card10, Rab27b, Pls1, Rab15, Rnf43, Ovol2, Lamc2, Macc1, Ifitm3, Susd4, Upk3bl, Lmo7, Ikzf2, Fam83b, Arhgef5, Gprc5c, Mctp2, Sh3gl2, Lama5, Jup, Atp8b1, 2310002F09Rik, Patj, Hpn, Gm56906, Fras1, Col18a1",99,"Amniotic ectoderm, Epibranchial placode, Epidermal progenitor, Lens placode, Midgut, Pharyngeal endoderm, Pre-placodal ectoderm, Surface ectoderm, Trigeminal placode",Surface ectoderm identity,"Defines the surface ectoderm and stratified epithelial fate driven by master regulator Trp63, along with Grhl2, Ovol2, and Irf6. The program establishes epithelial architecture through extensive cell junction (Cdh1, Dsp, Jup, claudins, occludin), desmosomal (Perp, Ppl), and basement membrane (Lama5, Lamc2, Fras1) components, while Esrp1 enforces epithelial splicing and keratins (Krt5, Krt14, Krt7) provide cytoskeletal identity. Active across surface ectoderm derivatives—epidermal progenitors, cranial placodes, and amniotic ectoderm—as well as epithelialized endoderm, reflecting a shared program for non-neural ectoderm specification and epithelial barrier formation."
P58,"Nepn, Fabp1, Rfx6, Tdh, Ihh, Apela, Lgals2, Tspan8, Cpm, Dio3, Enpp1, Ffar4, Pdzk1ip1, Gpr39, B4galnt2, Ang, Hkdc1, Rcan2",18,"Midgut, Visceral endoderm",Midgut endoderm identity,"Defines midgut endoderm specification and early epithelial differentiation. Key features include the gut endocrine transcription factor Rfx6, Indian Hedgehog (Ihh) signaling from the gut epithelium, and nutrient-sensing/lipid metabolism genes (Fabp1, Ffar4, Gpr39, Hkdc1) characteristic of emerging absorptive identity. Activity in visceral endoderm reflects shared transcriptional signatures between visceral and definitive gut endoderm lineages."
P59,"Ambp, Fgb, Serpinf2, Habp2, Fgg, Nr5a2, Foxa3, Plg, Trf, Akr1c19, Hnf4a, Gulo, Spp2, Il1r1, Apoa2, Paqr9, Slc2a2",17,"Hepatoblast, Visceral endoderm",Hepatoblast identity,"Defines early hepatocyte specification driven by the master hepatic transcription factors Hnf4a, Foxa3, and Nr5a2. The program activates a broad suite of liver secretory products including coagulation factors (Fgb, Fgg, Plg, Serpinf2), serum proteins (Ambp, Trf, Apoa2), and hepatic metabolic enzymes (Gulo, Slc2a2, Akr1c19). Its activity in both hepatoblasts and visceral endoderm reflects the shared HNF4A-dependent transcriptional identity of these two lineages."
P60,"Lrp2, Map7, Igfbp2, Dab1, Ston2, Wwc1, Tpd52, Plekha7, Hook1, Cmtm8, H2-D1, Emb, Mbp, Ezr, Kank1",15,"Amniotic ectoderm, Definitive endoderm, Epiblast, Epibranchial placode, Epidermal progenitor, Extraembryonic ectoderm, Forebrain, Foregut, Gut, Hindbrain, Hindgut, Lens placode, Midgut, Olfactory placode, Olfactory sensory neuron, Otic placode, Pharyngeal endoderm, Pre-placodal ectoderm, Primordial germ cell, Rostral ectoderm, Surface ectoderm, Trigeminal placode, Visceral endoderm",Apical epithelial polarity,"Establishes apical membrane identity and receptor-mediated endocytosis in polarized epithelia. The Lrp2–Dab1 endocytic axis, vesicle trafficking components (Ston2, Hook1, Tpd52), and apical scaffold/polarity factors (Ezr, Plekha7, Wwc1, Kank1) collectively organize the apical surface for morphogen uptake and signal modulation. Its broad activity across ectoderm, endoderm, and placodal epithelia reflects a shared requirement for apical-basal polarity during early organogenesis."
P61,"Lefty2, Utf1, Mesp1, Eomes, L1td1, Platr10, ENSMUSG00000144146, Psors1c2, Zscan10, Dppa5a, Bst2",11,"Epiblast, Extraembryonic ectoderm, Nascent mesoderm, Primitive streak, Primordial germ cell, Rostral ectoderm",Epiblast-streak transition,"Captures the transition from pluripotent epiblast through the primitive streak during gastrulation. This program combines core pluripotency factors (Utf1, Dppa5a, Zscan10, L1td1, Platr10) with key gastrulation drivers (Eomes, Mesp1, Lefty2), reflecting the gene regulatory state of epiblast cells as they undergo EMT and ingress through the streak to form nascent mesoderm. Its activity in primordial germ cells is consistent with PGC reactivation of the pluripotency network."
P62,"Ccdc198, Cpn1, Pcsk9, Galntl6, Fgfr4, Hnf1b, Hnf1aos1, Pcbd1",8,"Foregut, Gut, Hepatoblast, Hindgut, Midgut, Visceral endoderm",Hnf1 endoderm identity,"HNF1-driven transcriptional program active across endoderm-derived gut and hepatic lineages. Hnf1b is the central transcription factor, supported by its cofactor Pcbd1 and the regulatory antisense transcript Hnf1aos1, while downstream targets include liver- and gut-enriched genes such as Fgfr4, Pcsk9, and Cpn1. This program likely establishes and maintains pan-endodermal identity during gut tube regionalization and early hepatoblast specification."
P63,"Dlx5, Dlx6, Gad2, Dlx6os1, Dlx3",5,"Olfactory placode, Olfactory sensory neuron, Pre-placodal ectoderm",Dlx olfactory placode,"Dlx family transcription factor program driving olfactory placode specification and sensory neuron differentiation. Dlx3/5/6 and the regulatory lncRNA Dlx6os1 form a coherent module for placodal identity, while Gad2 reflects downstream GABAergic neuron fate specification characteristic of Dlx-dependent neurogenesis in the olfactory epithelium."
P64,"Foxi2, Galnt3, Ctxn3, Ripply3, Cldn9",5,Epibranchial placode,Foxi2+ epibranchial placode,"Defines epibranchial placode identity through the pioneer transcription factor Foxi2, a master regulator of cranial placode specification, combined with epithelial junction and glycosylation genes (Cldn9, Galnt3) that establish placodal epithelial character. Ripply3, a transcriptional repressor involved in pharyngeal segmentation, links this program to branchial arch patterning cues that position epibranchial placodes adjacent to pharyngeal clefts."
P65,"Fosb, Egr1, Zfp36, Fos, Junb",5,"Extraembryonic ectoderm, Lens placode, Macrophage, Megakaryocyte, Trigeminal placode",Ieg/ap-1 response,"Immediate early gene (IEG) response program centered on AP-1 transcription factor components (Fos, Fosb, Junb) along with the early-response transcription factor Egr1 and the mRNA decay factor Zfp36/TTP. This program reflects rapid, transient transcriptional activation in response to growth factors, cytokines, or stress signals, and its activity across diverse cell types is consistent with a generic stimulus-response module rather than a lineage-specific identity program."
P66,"Vgll2, Nkx2-6, Plet1, Prdm1",4,"Epibranchial placode, Midgut, Myotome, Pharyngeal endoderm, Primordial germ cell",Prdm1 fate specification,"Prdm1 (Blimp1)-centered program for cell fate specification across multiple lineages. Prdm1 and Nkx2-6 jointly drive pharyngeal endoderm and epibranchial placode patterning, while Vgll2 marks myotomal commitment and Plet1 labels specified progenitors including primordial germ cells. The program unifies Prdm1's repeated deployment as a fate-locking transcriptional repressor in pharyngeal apparatus development, PGC specification, and gut endoderm."
P67,"Sema3d, Met, Hs6st3, Pdgfc",4,"Epibranchial placode, Epidermal progenitor, Hypaxial myogenic progenitor, Myotome, Trigeminal placode",Migration/guidance signaling,"Encodes a cell migration and guidance signaling module combining receptor tyrosine kinase signaling (Met, Pdgfc), semaphorin-mediated guidance (Sema3d), and heparan sulfate modification (Hs6st3) that tunes growth factor availability. This program is active in cell populations that undergo delamination and long-range migration during development, including hypaxial muscle precursors (where Met is classically required for emigration from the dermomyotome), cranial placode neurons that delaminate and migrate to form sensory ganglia, and epidermal progenitors undergoing morphogenetic movements."
P68,"Sox10, Cdh19, Tfap2b, Foxd3, Tfap2a, Erbb3, Gm12688, ENSMUSG00000122671, Tnik, Luzp2, Cdh6, Plcg2, Grik2, Phactr1, Cotl1",15,"Autonomic neuron, Autonomic progenitor, Cranial neural crest, Dorsal root ganglion progenitor, Sacral neural crest, Trunk neural crest, Vagal neural crest",Neural crest identity,"Core neural crest specification and identity program driven by the master regulators Sox10, Foxd3, Tfap2a, and Tfap2b. Active across all neural crest populations (cranial, trunk, vagal, sacral) and their peripheral nervous system derivatives, with Erbb3 and Cdh19 supporting migration and cell-cell adhesion. This program defines the shared transcriptional identity of the neural crest lineage as it diversifies into autonomic neurons, sensory progenitors, and migratory crest populations."
P69,"Insc, Ndst3, Prdm12, Gfra1, Nkain4, Lgi4",6,"Autonomic neuron, Autonomic progenitor, Dorsal root ganglion neuron, Dorsal root ganglion progenitor, Epibranchial sensory neuron, Midbrain neuron, Otic sensory neuron, Trigeminal ganglion neuron, Trigeminal sensory neuron, Trunk neural crest, Vagal neural crest",Pns neuron specification,"Specifies peripheral nervous system neuron identity across neural crest-derived sensory and autonomic lineages. Prdm12 is a master transcription factor for somatosensory (particularly nociceptor) neuron fate, while Gfra1 (GDNF receptor) mediates neurotrophic signaling essential for sensory and autonomic neuron survival and differentiation. Lgi4 promotes peripheral nerve maturation, and Insc regulates asymmetric division during neurogenesis, together defining a shared program for peripheral neuron specification from trunk/vagal neural crest through cranial and spinal ganglia."
P70,"Mef2c, Plxna4, Adam12, Pde7b, Lama4, Mcam",6,"Arterial endothelial cell, Autonomic neuron, Autonomic progenitor, Cranial neural crest, Endocardial cell, Endothelial cell, Endothelial progenitor, Epicardium",Mef2c vascular morphogenesis,"Mef2c-driven program active across endothelial, endocardial, epicardial, and neural crest lineages during cardiovascular morphogenesis. The combination of vascular ECM components (Lama4, Mcam), a metalloprotease (Adam12), and semaphorin receptor guidance (Plxna4) points to a role in vascular remodeling and patterning, unifying cell types that contribute to heart and great vessel development including neural crest-derived autonomic and smooth muscle progenitors."
